Year,State,CO2(Metric Tons)
1997,Maine,556710.8235294118
1997,Maryland,3543141.8181818184
1997,Massachusetts,3411354.3529411764
1997,Michigan,7740865.2
1997,Minnesota,4145539.882352941
1997,Mississippi,3954150.4
1997,Missouri,11918802.476190476
1997,Montana,3118275.4285714286
1997,Nebraska,4086362.888888889
1997,Nevada,4071700.4210526315
1997,New Hampshire,732911.3103448276
1997,New Jersey,2577951.0967741935
1997,New Mexico,6072802.8
1997,New York,5453035.441860465
1997,North Carolina,7906189.888888889
1997,North Dakota,6981752.470588235
1997,Ohio,15173536.875
1997,Oklahoma,7233951.04
1997,Oregon,564109.8333333334
1997,Pennsylvania,10685780.0
1997,Rhode Island,715643.8
1997,South Carolina,5243713.666666667
1997,South Dakota,1424060.8
1997,Tennessee,8563055.034482758
1997,Texas,22810542.38095238
1997,Utah,5383975.130434782
1997,Vermont,5345.2307692307695
1997,Virginia,4004113.2
1997,Washington,1410436.0
1997,West Virginia,13338869.44
1997,Wisconsin,6016004.121212121
1997,Wyoming,9350414.888888888
1998,Alabama,10050397.6
1998,Alaska,688279.36
1998,Arizona,8146771.578947368
1998,Arkansas,4925070.956521739
1998,California,4342001.795918368
1998,Colorado,5789893.6
1998,Connecticut,1778186.5333333334
1998,Delaware,1662810.0
1998,District of Columbia,262858.0
1998,Florida,11477946.818181818
1998,Georgia,9082618.235294119
1998,Hawaii,1454422.2608695652
1998,Idaho,219932.4705882353
1998,Illinois,8860107.794871794
1998,Indiana,14860388.516129032
1998,Iowa,5257157.2
1998,Kansas,9798220.0
1998,Kentucky,22200394.133333333
1998,Louisiana,7062159.75
1998,Maine,638829.8285714285
1998,Maryland,3921575.393939394
1998,Massachusetts,3392158.6285714284
1998,Michigan,8424065.538461538
1998,Minnesota,4271584.235294118
1998,Mississippi,4304734.2
1998,Missouri,12632137.714285715
1998,Montana,3563916.380952381
1998,Nebraska,4141395.5789473685
1998,Nevada,5021340.705882353
1998,New Hampshire,742257.7142857143
1998,New Jersey,2295473.212121212
1998,New Mexico,6189544.8
1998,New York,5828295.720930233
1998,North Carolina,8127176.457142857
1998,North Dakota,7036694.444444444
1998,Ohio,16168919.870967742
1998,Oklahoma,7320704.64
1998,Oregon,1158697.3333333333
1998,Pennsylvania,10709993.066666666
1998,Rhode Island,724923.4
1998,South Carolina,4723053.142857143
